instant,dteday,season,mnth,holiday,weekday,temp,cnt
1,01/01/2011,1,1,0,6,0.344167,985
2,02/01/2011,1,1,0,0,0.363478,801
3,03/01/2011,1,1,0,1,0.196364,1349
4,04/01/2011,1,1,0,2,0.2,1562
5,05/01/2011,1,1,0,3,0.226957,1600
6,06/01/2011,1,1,0,4,0.204348,1606
7,07/01/2011,1,1,0,5,0.196522,1510
8,08/01/2011,1,1,0,6,0.165,959
9,09/01/2011,1,1,0,0,0.138333,822
10,10/01/2011,1,1,0,1,0.150833,1321
11,11/01/2011,1,1,0,2,0.169091,1263
12,12/01/2011,1,1,0,3,0.172727,1162
13,13/01/2011,1,1,0,4,0.165,1406
14,14/01/2011,1,1,0,5,0.16087,1421
15,15/01/2011,1,1,0,6,0.233333,1248
16,16/01/2011,1,1,0,0,0.231667,1204
17,17/01/2011,1,1,1,1,0.175833,1000
18,18/01/2011,1,1,0,2,0.216667,683
19,19/01/2011,1,1,0,3,0.292174,1650
20,20/01/2011,1,1,0,4,0.261667,1927
21,21/01/2011,1,1,0,5,0.1775,1543
22,22/01/2011,1,1,0,6,0.0591304,981
23,23/01/2011,1,1,0,0,0.0965217,986
24,24/01/2011,1,1,0,1,0.0973913,1416
25,25/01/2011,1,1,0,2,0.223478,1985
26,26/01/2011,1,1,0,3,0.2175,506
27,27/01/2011,1,1,0,4,0.195,431
28,28/01/2011,1,1,0,5,0.203478,1167
29,29/01/2011,1,1,0,6,0.196522,1098
30,30/01/2011,1,1,0,0,0.216522,1096
31,31/01/2011,1,1,0,1,0.180833,1501
32,01/02/2011,1,2,0,2,0.192174,1360
33,02/02/2011,1,2,0,3,0.26,1526
34,03/02/2011,1,2,0,4,0.186957,1550
35,04/02/2011,1,2,0,5,0.211304,1708
36,05/02/2011,1,2,0,6,0.233333,1005
37,06/02/2011,1,2,0,0,0.285833,1623
38,07/02/2011,1,2,0,1,0.271667,1712
39,08/02/2011,1,2,0,2,0.220833,1530
40,09/02/2011,1,2,0,3,0.134783,1605
41,10/02/2011,1,2,0,4,0.144348,1538
42,11/02/2011,1,2,0,5,0.189091,1746
43,12/02/2011,1,2,0,6,0.2225,1472
44,13/02/2011,1,2,0,0,0.316522,1589
45,14/02/2011,1,2,0,1,0.415,1913
46,15/02/2011,1,2,0,2,0.266087,1815
47,16/02/2011,1,2,0,3,0.318261,2115
48,17/02/2011,1,2,0,4,0.435833,2475
49,18/02/2011,1,2,0,5,0.521667,2927
50,19/02/2011,1,2,0,6,0.399167,1635
51,20/02/2011,1,2,0,0,0.285217,1812
52,21/02/2011,1,2,1,1,0.303333,1107
53,22/02/2011,1,2,0,2,0.182222,1450
54,23/02/2011,1,2,0,3,0.221739,1917
55,24/02/2011,1,2,0,4,0.295652,1807
56,25/02/2011,1,2,0,5,0.364348,1461
57,26/02/2011,1,2,0,6,0.2825,1969
58,27/02/2011,1,2,0,0,0.343478,2402
59,28/02/2011,1,2,0,1,0.407273,1446
60,01/03/2011,1,3,0,2,0.266667,1851
61,02/03/2011,1,3,0,3,0.335,2134
62,03/03/2011,1,3,0,4,0.198333,1685
63,04/03/2011,1,3,0,5,0.261667,1944
64,05/03/2011,1,3,0,6,0.384167,2077
65,06/03/2011,1,3,0,0,0.376522,605
66,07/03/2011,1,3,0,1,0.261739,1872
67,08/03/2011,1,3,0,2,0.2925,2133
68,09/03/2011,1,3,0,3,0.295833,1891
69,10/03/2011,1,3,0,4,0.389091,623
70,11/03/2011,1,3,0,5,0.316522,1977
71,12/03/2011,1,3,0,6,0.329167,2132
72,13/03/2011,1,3,0,0,0.384348,2417
73,14/03/2011,1,3,0,1,0.325217,2046
74,15/03/2011,1,3,0,2,0.317391,2056
75,16/03/2011,1,3,0,3,0.365217,2192
76,17/03/2011,1,3,0,4,0.415,2744
77,18/03/2011,1,3,0,5,0.54,3239
78,19/03/2011,1,3,0,6,0.4725,3117
79,20/03/2011,1,3,0,0,0.3325,2471
80,21/03/2011,2,3,0,1,0.430435,2077
81,22/03/2011,2,3,0,2,0.441667,2703
82,23/03/2011,2,3,0,3,0.346957,2121
83,24/03/2011,2,3,0,4,0.285,1865
84,25/03/2011,2,3,0,5,0.264167,2210
85,26/03/2011,2,3,0,6,0.265833,2496
86,27/03/2011,2,3,0,0,0.253043,1693
87,28/03/2011,2,3,0,1,0.264348,2028
88,29/03/2011,2,3,0,2,0.3025,2425
89,30/03/2011,2,3,0,3,0.3,1536
90,31/03/2011,2,3,0,4,0.268333,1685
91,01/04/2011,2,4,0,5,0.3,2227
92,02/04/2011,2,4,0,6,0.315,2252
93,03/04/2011,2,4,0,0,0.378333,3249
94,04/04/2011,2,4,0,1,0.573333,3115
95,05/04/2011,2,4,0,2,0.414167,1795
96,06/04/2011,2,4,0,3,0.390833,2808
97,07/04/2011,2,4,0,4,0.4375,3141
98,08/04/2011,2,4,0,5,0.335833,1471
99,09/04/2011,2,4,0,6,0.3425,2455
100,10/04/2011,2,4,0,0,0.426667,2895
101,11/04/2011,2,4,0,1,0.595652,3348
102,12/04/2011,2,4,0,2,0.5025,2034
103,13/04/2011,2,4,0,3,0.4125,2162
104,14/04/2011,2,4,0,4,0.4675,3267
105,15/04/2011,2,4,1,5,0.446667,3126
106,16/04/2011,2,4,0,6,0.430833,795
107,17/04/2011,2,4,0,0,0.456667,3744
108,18/04/2011,2,4,0,1,0.5125,3429
109,19/04/2011,2,4,0,2,0.505833,3204
110,20/04/2011,2,4,0,3,0.595,3944
111,21/04/2011,2,4,0,4,0.459167,4189
112,22/04/2011,2,4,0,5,0.336667,1683
113,23/04/2011,2,4,0,6,0.46,4036
114,24/04/2011,2,4,0,0,0.581667,4191
115,25/04/2011,2,4,0,1,0.606667,4073
116,26/04/2011,2,4,0,2,0.631667,4400
117,27/04/2011,2,4,0,3,0.62,3872
118,28/04/2011,2,4,0,4,0.6175,4058
119,29/04/2011,2,4,0,5,0.51,4595
120,30/04/2011,2,4,0,6,0.4725,5312
121,01/05/2011,2,5,0,0,0.451667,3351
122,02/05/2011,2,5,0,1,0.549167,4401
123,03/05/2011,2,5,0,2,0.616667,4451
124,04/05/2011,2,5,0,3,0.414167,2633
125,05/05/2011,2,5,0,4,0.459167,4433
126,06/05/2011,2,5,0,5,0.479167,4608
127,07/05/2011,2,5,0,6,0.52,4714
128,08/05/2011,2,5,0,0,0.528333,4333
129,09/05/2011,2,5,0,1,0.5325,4362
130,10/05/2011,2,5,0,2,0.5325,4803
131,11/05/2011,2,5,0,3,0.5425,4182
132,12/05/2011,2,5,0,4,0.535,4864
133,13/05/2011,2,5,0,5,0.5125,4105
134,14/05/2011,2,5,0,6,0.520833,3409
135,15/05/2011,2,5,0,0,0.5625,4553
136,16/05/2011,2,5,0,1,0.5775,3958
137,17/05/2011,2,5,0,2,0.561667,4123
138,18/05/2011,2,5,0,3,0.55,3855
139,19/05/2011,2,5,0,4,0.530833,4575
140,20/05/2011,2,5,0,5,0.536667,4917
141,21/05/2011,2,5,0,6,0.6025,5805
142,22/05/2011,2,5,0,0,0.604167,4660
143,23/05/2011,2,5,0,1,0.631667,4274
144,24/05/2011,2,5,0,2,0.66,4492
145,25/05/2011,2,5,0,3,0.660833,4978
146,26/05/2011,2,5,0,4,0.708333,4677
147,27/05/2011,2,5,0,5,0.681667,4679
148,28/05/2011,2,5,0,6,0.655833,4758
149,29/05/2011,2,5,0,0,0.6675,4788
150,30/05/2011,2,5,1,1,0.733333,4098
151,31/05/2011,2,5,0,2,0.775,3982
152,01/06/2011,2,6,0,3,0.764167,3974
153,02/06/2011,2,6,0,4,0.715,4968
154,03/06/2011,2,6,0,5,0.62,5312
155,04/06/2011,2,6,0,6,0.635,5342
156,05/06/2011,2,6,0,0,0.648333,4906
157,06/06/2011,2,6,0,1,0.678333,4548
158,07/06/2011,2,6,0,2,0.7075,4833
159,08/06/2011,2,6,0,3,0.775833,4401
160,09/06/2011,2,6,0,4,0.808333,3915
161,10/06/2011,2,6,0,5,0.755,4586
162,11/06/2011,2,6,0,6,0.725,4966
163,12/06/2011,2,6,0,0,0.6925,4460
164,13/06/2011,2,6,0,1,0.635,5020
